Deletions-1610_B02_s3.TIF	0	93	183	272	362	453	543	633	
Deletions-1610_B02_s4.TIF	0	93	183	272	362	453	543	633	
Deletions-1610_B02_s5.TIF	0	93	183	273	362	453	543	633	
Deletions-1610_B02_s6.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s7.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s8.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B02_s9.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B03_s10.TIF	0	94	184	273	363	453	543	634	
Deletions-1610_B03_s11.TIF	0	94	184	273	363	453	543	634	
Deletions-1610_B03_s12.TIF	0	94	184	273	363	453	543	634	
Deletions-1610_B03_s13.TIF	0	94	184	273	363	454	544	634	
Deletions-1610_B03_s14.TIF	0	94	184	274	363	454	544	634	
Deletions-1610_B03_s15.TIF	0	94	184	274	363	454	544	634	
Deletions-1610_B03_s16.TIF	0	94	184	274	364	454	544	634	
Deletions-1610_B03_s17.TIF	0	94	184	274	364	454	544	634	
Deletions-1610_B03_s18.TIF	0	94	184	274	364	454	544	634	
Deletions-1610_B03_s19.TIF	0	94	184	274	364	454	544	634	
Deletions-1610_B03_s1.TIF	0	93	184	273	363	453	543	633	
Deletions-1610_B03_s20.TIF	0	94	184	274	364	454	544	634	
Deletions-1610_B03_s21.TIF	0	94	184	274	364	454	544	634	
Deletions-1610_B03_s22.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B03_s23.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B03_s24.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B03_s25.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B03_s26.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_B03_s2.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B03_s3.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B03_s4.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B03_s5.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B03_s6.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B03_s7.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B03_s8.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B03_s9.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_B04_s10.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_B04_s11.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_B04_s12.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_B04_s13.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_B04_s14.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_B04_s15.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_B04_s16.TIF	0	96	186	275	365	455	545	635	
